Region,Country,City,Airport Name,IATA Code,longitude_deg,latitude_deg
Caribbean,Saint Lucia,Vieux Fort Quarter,Hewanorra International Airport,UVF,-60.952599,13.7332
Caribbean,Saint Vincent and the Grenadines,Kingstown,Argyle International Airport,SVD,-61.149945,13.156695
Caribbean,Saint Vincent and the Grenadines,Canouan,Canouan Airport,CIW,-61.3424,12.699
Caribbean,Sint Maarten,Philipsburg,Princess Juliana International Airport,SXM,-63.108898,18.041
Caribbean,Trinidad and Tobago,Port of Spain,Piarco International Airport,POS,-61.3372,10.5954
Caribbean,Trinidad and Tobago,Tobago,A.N.R. Robinson International Airport,TAB,-60.832199,11.1497
Caribbean,Turks and Caicos Islands,Blue Hills,Providenciales Airport,PLS,-72.268321,21.773697
Caribbean,U.S. Virgin Islands,Charlotte Amalie,Cyril E. King Airport,STT,-64.977251,18.337091
Caribbean,U.S. Virgin Islands,Christiansted,Henry E. Rohlsen Airport,STX,-64.802608,17.701413
Central America,Belize,Belize City,Philip S. W. Goldson International Airport,BZE,-88.303556,17.539951
Central America,Costa Rica,Liberia,Daniel Oduber Quirós International Airport,LIR,-85.544403,10.5933
Central America,Costa Rica,San José,Juan Santamaría International Airport,SJO,-84.208801,9.99386
Central America,El Salvador,San Salvador,El Salvador International Airport,SAL,-89.055702,13.4409
Central America,Guatemala,Flores,Mundo Maya International Airport,FRS,-89.866402,16.913799
Central America,Guatemala,Guatemala City,La Aurora International Airport,GUA,-90.527496,14.5833
Central America,Honduras,La Ceiba,Golosón International Airport,LCE,-86.852997,15.7425
Central America,Honduras,Roatán,Juan Manuel Gálvez International Airport,RTB,-86.523003,16.316799
Central America,Honduras,San Pedro Sula,Ramón Villeda Morales International Airport,SAP,-87.923599,15.4526
Central America,Honduras,Tegucigalpa,Toncontín International Airport,TGU,-87.217201,14.0609
Central America,Honduras,Comayagua,Comayagua International Airport,XPL,-87.621201,14.3824
Central America,Nicaragua,Managua,Augusto C. Sandino International Airport,MGA,-86.16819763183594,12.14150047302246
Central America,Nicaragua,Bluefields,Bluefields Airport,BEF,-83.774101,11.991
Central America,Nicaragua,Corn Island,Corn Island Airport,RNI,-83.059445,12.174785
Central America,Panama,Bocas del Toro,"Bocas del Toro ""Isla Colón"" International Airport",BOC,-82.250801,9.34085
Central America,Panama,"David, Chiriquí",Enrique Malek International Airport,DAV,-82.434998,8.391
Central America,Panama,Panama City,"Albrook ""Marcos A. Gelabert"" International Airport",PAC,-79.555603,8.97334
Central America,Panama,Rio Hato,Scarlett Martínez International Airport,RIH,-80.127899169922,8.375880241394
North America,Bermuda,Hamilton,L.F. Wade International Airport,BDA,-64.678703,32.363998
North America,Canada,Abbotsford,Abbotsford International Airport,YXX,-122.361,49.025299
North America,Canada,Barrie (Oro-Medonte),Lake Simcoe Regional Airport,YLK,-79.554663,44.485056
North America,Canada,Calgary,Calgary International Airport,YYC,-114.009933,51.118822
North America,Canada,Charlottetown,Charlottetown Airport,YYG,-63.12110137939453,46.290000915527344
North America,Canada,Deer Lake,Deer Lake Regional Airport,YDA,-139.1280059814453,64.04309844970703
North America,Canada,Edmonton,Edmonton International Airport,YEG,-113.580002,53.3097
North America,Canada,Fredericton,Fredericton International Airport,YFC,-66.53720092773438,45.868900299072266
North America,Canada,Gander,Gander International Airport,YQX,-54.567719,48.936258
North America,Canada,Halifax (Goffs),Halifax Stanfield International Airport,YHZ,-63.5085983276,44.8807983398
North America,Canada,Hamilton,John C. Munro Hamilton International Airport,YHM,-79.93499755859999,43.173599243199995
North America,Canada,Kamloops,Kamloops Airport,YKA,-120.448641,50.703038
North America,Canada,Kelowna,Kelowna International Airport,YLW,-119.377998,49.9561
North America,Canada,Kingston,Kingston Norman Rogers Airport,YGK,-76.596901,44.2253
North America,Canada,Kitchener,Region of Waterloo International Airport,YKF,-80.378601,43.4608
North America,Canada,London,London International Airport,YXU,-81.1539,43.035599
North America,Canada,Moncton (Dieppe),Greater Moncton Roméo LeBlanc International Airport,YQM,-64.678596,46.112202
North America,Canada,Montréal (Dorval),Montréal–Trudeau International Airport,YUL,-73.742294,45.467837
North America,Canada,Ottawa,Ottawa Macdonald–Cartier International Airport,YOW,-75.669197,45.322498
North America,Canada,Québec City,Québec City Jean Lesage International Airport,YQB,-71.393303,46.7911
North America,Canada,Regina,Regina International Airport,YQR,-104.66600036621094,50.43190002441406
North America,Canada,Saint John,Saint John Airport,YSJ,-65.89029693603516,45.31610107421875
North America,Canada,St. John's,St. John's International Airport,YYT,-52.7519,47.618599
North America,Canada,Sydney,JA Douglas McCurdy Sydney Airport,YQY,-60.047798,46.1614
North America,Canada,Thunder Bay,Thunder Bay International Airport,YQT,-89.32389831542969,48.37189865112305
North America,Canada,Toronto (Mississauga),Toronto Pearson International Airport,YYZ,-79.6306,43.6772
North America,Canada,Toronto,Billy Bishop Toronto City Airport,YTZ,-79.396202,43.627499
North America,Canada,Vancouver (Richmond),Vancouver International Airport,YVR,-123.183998,49.193901
North America,Canada,Victoria (Sidney),Victoria International Airport,YYJ,-123.427792,48.647201
North America,Canada,Whitehorse,Erik Nielsen Whitehorse International Airport,YXY,-135.067001,60.709599
North America,Canada,Windsor,Windsor International Airport,YQG,-82.95559692382812,42.27560043334961
North America,Canada,Winnipeg,Winnipeg James Armstrong Richardson International Airport,YWG,-97.2398986816,49.909999847399995
North America,Greenland,Kangerlussuaq,Kangerlussuaq Airport,SFJ,-50.715294,67.010446
North America,Greenland,Nuuk,Nuuk Airport,GOH,-51.67914,64.191066
North America,Greenland,Ilulissat,Ilulissat Airport,JAV,-51.057098,69.243202
North America,Greenland,Narsarsuaq,Narsarsuaq Airport,UAK,-45.425999,61.1605
North America,Mexico,Acapulco,Acapulco International Airport,ACA,-99.753113,16.757126
North America,Mexico,Aguascalientes,Aguascalientes International Airport,AGU,-102.318372,21.699589
North America,Mexico,Cancún,Cancún International Airport,CUN,-86.874304,21.039444
